category,city,full,title,text,county,press,link,date
no-cat,Târgu-Jiu,,Minerii şi energeticienii care au participat la „Marşul disperării“ s-au întins pe jos în faţa sediului Guvernului. Au mers pe jos 330 de kilometri!,Mnerii şi energeticienii din cadrul Complexului Energetic Oltenia (CEO) care participă la „Marşul disperării“ au ajuns în Piaţa Victoriei şi pichetează într-un mod inedit sediul Guvernului.,Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/minerii-energeticienii-participat-marsul-disperarii-s-au-intins-jos-fata-sediului-guvernului-mers-jos-330-kilometri-1_5714b3bd5ab6550cb81c2962/index.html,2016-04-18 00:00:00
no-cat,Slatina,,"Familia care luptă pentru un strop de bucurie în viaţa celor năpăstuiţi: „Preoţia nu e o meserie, e o misiune“","Tatăl este de 23 de ani preot în Parohia Izvoru, comuna Găneasa, din judeţul Olt, mama – directorul şcolii din comună, iar copiii, deşi învaţă în Slatina, revin în sat nu doar să-şi viziteze bunicii, ci şi să le ofere ajutorul celor mai puţin norocoşi. De Paşte, de Crăciun, în zi obişnuită, cei mai săraci membri ai comunităţii găsesc la Biserica „Sf. Cuvioasa Parascheva“ linişte şi sprijin.",Olt,Adevarul,http://adevarul.ro/locale/slatina/familia-lupta-strop-bucurie-viata-celor-napastuiti-preotia-nu-e-meserie-e-misiune-1_5717abc95ab6550cb82f4204/index.html,2016-04-20 00:00:00
no-cat,Târgu-Jiu,,Călinoiu se poate întoarce în fruntea Consiliului Judeţean Gorj. Ordinul de revocare a fost suspendat,Instanţa Tribunalului Gorj a admis suspendarea ordinului Prefectului Judeţului Gorj cu privire la revocarea din funcţia de preşedinte al Consiliului Judeţean Gorj a lui Ion Călinoiu,Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/calinoiu-intoarce-fruntea-consiliului-judetean-gorj-ordinul-revocare-fost-suspendat-1_5714f8bf5ab6550cb81e235d/index.html,2016-04-18 00:00:00
no-cat,Târgu-Jiu,,Licean gorjean câştigător al unui concurs de informatică: „Probabil că în judeţul Gorj nu mă voi întoarce decât în vizită“,"Alexandru Corlan (19 ani), elev la specializarea matematică-informatică din cadrul Colegiului Naţional „Ecaterina Teodoroiu“, a câştigat medalia la bronz la concursul Infomatrix, care a avut loc la Bucureşti, pe data de 8 aprilie. Tânărul se pregăteşte de bacalaureat şi admiterea la facultate, iar este câteva luni va pleca din judeţul Gorj.",Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/licean-gorjean-castigator-unui-concurs-informatica-probabil-judetul-gorj-nu-intoarce-decat-vizita-1_5714ef865ab6550cb81de953/index.html,2016-04-18 00:00:00
no-cat,Târgu-Jiu,,"De ce au fost drumurile romane din Dacia principalul element de propagare a ideilor, culturii şi civilizaţiei imperiului",Drumurile romane au constituit unul diuntre elementele de bază ale civilizaţiei romane. Interesant este că tehnica de construcţie folosită le făcea foarte durabile.,Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/de-fost-drumurile-romane-dacia-principalul-element-propagare-ideilor-culturii-civilizatiei-imperiului-1_57150a955ab6550cb81e9975/index.html,2016-04-19 00:00:00
no-cat,Târgu-Jiu,,Sabia lui Tudor Vladimirescu a fost scoasă pentru prima dată din Muzeul Naţional de Istorie pentru a fi adusă la Târgu Jiu,"Expoziţia în care sabia  care i-a aparţinut lui Tudor Vladimirescu este piesa centrală poate fi văzută, de astăzi şi până duminică, la Muzeul Judeţean de Istorie.",Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/sabia-tudor-vladimirescu-fost-scoasa-data-muzeul-national-istorie-adusa-targu-jiu-1_571541cf5ab6550cb81fcb6e/index.html,2016-04-18 00:00:00
no-cat,Târgu-Jiu,,Elevii au vizitat staţiile de epurare a apei din Târgu Jiu şi Bumbeşti Jiu,"Zeci de elevi gorjeni au vizitat staţiile de tratare a apei din cadrul operatorului regional de apă şi canalizare Aparegio, pentru a vedea procesele prin care trece apa care ajunge în reţeaua de canalizare pentru a fi curăţată de reziduuri.",Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/elevii-vizitat-statiile-epurare-apei-targu-jiu-bumbesti-jiu-1_5715cc0b5ab6550cb8224353/index.html,2016-04-19 00:00:00
no-cat,Târgu-Jiu,,„Candidaţi la fericire? Citiţi o carte!“ Scriitoarea Ileana Vulpescu se întâlneşte cu publicul gorjean,"Programul cultural „Candidaţi la fericire? Citiţi o carte!” se va desfăşura în perioada 21 - 23 aprilie, în municipiul Târgu Jiu, în preajma  Zilei Internaţionale a Cărţii, Drepturilor de Autor şi Bibliotecarului.",Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/candidati-fericirer-cititi-carte-scriitoarea-ileana-vulpescu-intalneste-publicul-gorjean-1_57155b885ab6550cb8205fc4/index.html,2016-04-19 00:00:00
no-cat,Piteşti,,Părinţii copilului cu SHU din Italia: „Vom da în judecată Lactate Brădet!”,"Părinţii lui Denis Corban, bebeluşul român din Italia diagnosticat, în martie, cu sindrom hemolitic uremic, au declarat, exclusiv pentru Adevărul, că vor da în judecată firma Lactate Brădet pe care o consideră vinovată de îmbolnăvirea copilului lor. Micuţul, ale cărui analize au indicat aceleaşi tulpini de E. coli ca cele depistate în brânza consumată, riscă să rămână cu insuficienţă renală pentru toată viaţa.",Argeş,Adevarul,http://adevarul.ro/locale/pitesti/parintii-copilului-shu-italia-vom-judecata-lactate-bradet-1_5717ae825ab6550cb82f5649/index.html,2016-04-20 00:00:00
no-cat,Râmnicu Vâlcea,,"Biţă, câinele-soldat al Armatei Române, activ şi în prag de pensionare. Patrupedul „a luptat“ în Afganistan","Dresat să detecteze orice tip de explozibil, Biţă, al doilea câine-soldat al Armatei Române care a ajuns în Afganistan, rămâne activ şi în prag de pensionare. Patrupedul e nelipsit de la antrenamente şi se bucură de toată atenţia geniştilor din Râmnicu Vâlcea, care nu pierd nicio ocazie pentru a-l răsfăţa.",Vâlcea,Adevarul,http://adevarul.ro/locale/ramnicu-valcea/bita-cainele-soldat-armatei-romane-activ-prag-pensionare-patrupedul-a-luptat-afganistan-1_570e3e545ab6550cb8f18f4f/index.html,2016-04-13 00:00:00
