category,city,title,text,county,date,link,press
,,"EXCLUSIV Sex pentru note la facultate. Profesor: „Stai, mă, olteanco, cuminte, nu mă zăpăci. Deci nu mai îs bun de nimic dacă nu mă laşi să te sărut”","Procurorii
Parchetului General au realizat joi dimineaţă un flagrant la
Universitatea „Eftimie Murgu“ din Reşiţa, acolo unde mai mulţi profesori ar fi
acuzaţi de luare mită.",Reşiţa,07-09-15,http://adevarul.ro/locale/resita/flagrant-universitatea-eftimie-murgu-resita-condusa-sotia-baronului-frunzaverde-1_559e187cf5eaafab2c63ec23/index.html,Adevarul
,,VIDEO Zimbrii din Munţii Ţarcu au fost atacaţi de câini sălbăticiţi. Două animale au fost ucise de haite,"Doi zimbri din rezervaţia Măgura Zimbrilor, din Munţii Ţarcu, una dintre cele mai mari zone de sălbăticie din Europa, au fost ucişi de haitele de câini sălbăticiţi.",Reşiţa,01-22-16,http://adevarul.ro/locale/resita/video-zimbrii-muntii-Tarcu-fost-atacati-caini-salbaticiti-doua-animale-fost-ucise-haite-1_56a2022337115986c6c7ee89/index.html,Adevarul
,,Combinatul de la Oţelu Roşu ar putea fi repornit de investitori din Serbia,"Combinatul de la Oţelu Roşu (Caraş-Severin) a fost închis de către ruşii de la Mechel, în anul 2012, când au ajuns şomeri în jur de 500 de muncitori.",Reşiţa,02-03-16,http://adevarul.ro/locale/resita/combinatul-otelu-rosu-putea-repornit-investitori-serbia-1_56b229575ab6550cb86bf750/index.html,Adevarul
,,"Afaceri cu munţii de deşeuri industriale de la Oţelu Roşu: combinatul siderurgic are lacătul pe uşă, dar halda de zgură îi încaieră pe afaceriştii din zonă","Combinatul siderurgic de la Oţelu Roşu
avea mii de angajaţi în perioada comunistă. Acum stă cu lacătul pe uşă, în timp
ce mai mulţi afacerişti se luptă pe deşeurile produse de-a lungul anilor.",Reşiţa,02-15-16,http://adevarul.ro/locale/resita/afaceri-muntii-deseuri-industriale-otelu-rosu-combinatul-siderurgic-lacatul-usa-halda-zgura-incaiera-afaceristii-zona-1_56c084315ab6550cb8caa5ce/index.html,Adevarul
,,"Omul de afaceri Iosif Armaş, vizat într-un dosar DIICOT cu prejudiciu de peste 120 de milioane de lei. Percheziţii în Timişoara, Reşiţa şi Herculane","Procurorii DIICOT Caraş-Severin fac, miercuri dimineaţă, 16 percheziţii într-un caz de delapidare şi bancrută frauduloasă, fiind vizaţi preşedintele CA al SC Hercules Băile Herculane, Iosif Armaş, precum şi directorul general şi cel economic, acuzaţi că au înstrăinat ilegal mai multe hoteluri şi alte bunuri.",Reşiţa,04-06-16,http://adevarul.ro/locale/resita/perchezitii-intr-un-caz-delapidare-presedintele-sc-hercules-iosif-armas-doi-directori-1_57049f3d5ab6550cb8a97c88/index.html,Adevarul
,,"Cinci femei din Oţelu Roşu, între care şi soţia primarului, printre persoanele rănite în accidentul din Turcia","Cinci femei din oraşul Oţelu Roşu, judeţul Caraş-Severin, între care şi soţia primarului, precum şi o femeie din Timişoara, cadru didactic universitar, se află printre persoanele rănite în accidentul din Turcia, soldat cu moartea a două persoane şi rănirea altor 14.",Reşiţa,03-15-16,http://adevarul.ro/locale/resita/cinci-femei-otelu-rosu-sotia-primarului-printre-persoanele-ranite-accidentul-turcia-1_56e7f7fc5ab6550cb8df32e0/index.html,Adevarul
,,"Distrugerea staţiunii Băile Herculane,
anchetată de DIICOT","Privatizarea frauduloasă şi distrugerea uneia din cele mai frumoase
staţiuni balneare din România au intrat în atenţia DIICOT. Vizat de ancheta cu
un prejudiciu estimat la peste 120 de milioane de lei este fostul deputat Iosif
Armaş.",Reşiţa,04-06-16,http://adevarul.ro/locale/resita/distrugerea-statiunii-baile-herculaneanchetata-diicot-1_570506b35ab6550cb8ae4ed4/index.html,Adevarul
,,32 de mureşeni blocaţi în Bruxelles,"Zeci de turişti mureşeni aşteaptă să se întoarcă în ţară.
Aceştia ar fi trebuit astăzi să decoleze din capitala Belgiei, dar deocamdată
aeroporturile sunt închise.",Târgu-Mureş,03-22-16,http://adevarul.ro/locale/targu-mures/32-mureseni-blocati-bruxelles-1_56f138fe5ab6550cb81c0439/index.html,Adevarul
,,"O bistriţeancă vrea să construiască din donaţii o casă de copii atipică, unde tinerii să fie pregătiţi pentru viaţă","O bistriţeancă de 41 de ani vrea să construiască în Bistriţa-Năsăud o casă de copii atipică, unde cei mici să crească învăluiţi de dragostea maternă, iar tinerii să înveţe o meserie înainte să-şi înceapă viaţa de adult. Aceasta va fi privată şi va fi construită exclusiv din donaţii.",Bistriţa,04-10-16,http://adevarul.ro/locale/bistrita/o-bistriteanca-vrea-construiasca-donatii-casa-copii-atipica-tinerii-pregatiti-viata-1_570a1bb15ab6550cb8d2ccd3/index.html,Adevarul
,,Vacanţe exotice la preţuri modice. Momentul ideal de vânat oferte turistice,"Vancanţa de neuitat poate să fie
pe cât de frumoasă, pe atât de accesibilă. Tot ce trebuie să faceţi este să o
rezervaţi din timp şi să căutaţi cele mai bune oferte. Încă din luna ianuarie
au apărut ofertele „early booking”, iar cele din această primăvară pot fi
foarte atractive, chiar şi în destinaţii exotice.",Târgu-Mureş,03-26-16,http://adevarul.ro/locale/targu-mures/vacante-exotice-preturi-modice-momentul-ideal-vanat-oferte-turistice-1_56f457b05ab6550cb831deba/index.html,Adevarul
